ID,Name,Keywords,Length
117,L_2011_09_06__16_30_37___6___9,unc_38,26197
118,L_2011_09_13__16_20_13___6___11,unc_38,26197
119,L_2010_08_19__12_37_58___7___7,unc_38,26196
120,L_2010_09_23__11_38_48___7___3,unc_38,26200
121,L_2011_08_11__12_44_03___7___9,unc_38,26197
122,L_2011_09_15__14_12_13___7___8,unc_38,26197
123,L_2010_09_23__11_38_15___8___3,unc_38,26195
124,L_2011_08_11__10_02_20___8___1,unc_38,26195
125,L_2011_09_06__16_33_29___8___9,unc_38,26195
126,L_2011_09_13__11_23_40___8___1,unc_38,26196
127,L_2010_09_09__10_05_47___4___1,N2,26182
128,L_2011_03_10__10_55_13___7___1,N2,26196
129,L_2010_10_15__13_06_25___7___7,N2,26197
130,L_2011_11_10__11_15_27___2___4,N2,26195
131,L_2010_08_06__10_53_35___1___1,N2,26196
132,L_2010_11_04__12_58_41__8,N2,26196
133,L_2011_02_24__14_53_09___6___3,N2,26197
134,R_2012_02_22__11_02_11___7___3,N2,26197
135,R_2012_03_08__15_22_49___7___8,N2,26197
136,R_2011_10_13__13_01_46__5,N2,3748
137,L_2011_08_11__11_41___3___6,N2,26196
138,L_2011_03_10__11_28_44___6___3,N2,26197
139,R_2012_02_22__11_18_13___4___4,N2,26196
140,R_2010_10_27__10_57___3___2,N2,26196
141,L_2011_10_04__12_54___3___3,N2,26196
142,R_2011_03_15__15_43_43___2___9,N2,26196
143,R_2011_10_06__11_10_32___1___2,N2,26196
144,L_2011_06_30__10_09___3___1,N2,26195
145,L_2010_09_09__10_07_44___7___1,N2,26197
146,R_2010_12_14__11_44_13___7___2,N2,26196
147,R_2011_04_12__11_19___3___1,N2,26195
148,L_2011_08_24__12_42_20___6___9,N2,26197
149,L_2010_07_23__10_14_42___6___1,N2,26197
150,L_2011_08_24__11_21_21___2___5,N2,26196
151,R_2010_11_04__12_37_36___6___7,N2,26197
152,L_2011_11_11__12_18_25___7___1,N2,26197
153,R_2011_03_30__16_13___3___10,N2,26195
154,L_2011_08_09__10_54_53__2,N2,26196
155,R_2011_06_14__14_44_08___8___9,N2,26195
156,L_2010_12_14__12_40_07___1___4,N2,26197
157,R_2010_10_15__12_25___3___5,N2,26195
158,R_2011_04_14__12_37_53___1___5,N2,26196
159,R_2011_06_14__11_29___3___3,N2,26196
160,L_2011_10_04__12_35_25___2___2,N2,26196
161,R_2010_09_23__10_57_56___7___1,N2,26197
162,R_2010_07_22__11_07_07__1,N2,26195
163,R_2010_08_19__10_55_18___6___1,N2,26197
164,L_2011_08_31__13_15_04___1___6,N2,26197
165,L_2011_03_17__12_03_26___6___3,N2,26197
166,R_2011_06_30__10_12_56___8___1,N2,26195
167,L_2011_09_20__12_45_27___7___5,N2,25711
168,R_2011_09_02__15_32_04___8___2,N2,26195
169,R_2010_11_09__11_33_57___1___2,N2,26197
170,L_2010_10_15__12_25_23___2___5,N2,26195
171,R_2010_10_01__11_44_59___2___1,N2,26195
172,R_2011_02_17__11_00_00___6___1,N2,26197
173,R_2011_03_29__15_22_47___7___9,N2,26196
174,R_2010_09_10__11_24_26___1___1,N2,26196
175,R_2011_09_13__12_43_15__5,N2,26195
176,L_2010_08_20__10_17_33__1,N2,26196
177,R_2011_03_07__16_36_12___7___13,N2,26197
178,R_2011_03_29__15_55_07___6___12,N2,26197
179,R_2011_02_17__16_43_16___6___11,N2,26196
180,R_2010_10_21__12_48_50___7___6,N2,26196
181,R_2011_11_09__10_20_10___1___1,N2,26196
182,R_2010_10_15__12_45___3___6,N2,26195
183,R_2011_04_13__10_49_25___8___1,N2,26195
184,R_2012_03_08__11_50_49___1___1,N2,26196
185,L_2011_06_30__12_59___3___9,N2,26196
186,R_2010_11_11__12_09_09___8___4,N2,26195
187,L_2010_05_11__11_06_06___7___1,N2,26873
188,L_2010_10_01__11_47_42___7___1,N2,26196
189,R_2011_11_11__12_38_06___8___2,N2,26195
190,R_2011_09_22__11_50_45___2___3,N2,26195
191,L_2011_05_26__11_29_27__1,N2,26195
192,R_2011_05_19__11_59___3___4,N2,26196
193,L_2010_10_01__11_45_22___6___1,N2,26197
194,L_2011_10_18__11_46_47___2___2,N2,26196
195,L_2011_08_11__10_03_02___7___1,N2,26197
196,R_2011_09_22__12_31___4___5,N2,26196
197,R_2010_10_15__15_53___3___11,N2,26196
198,L_2011_08_09__11_34_40___7___4,N2,26196
199,L_2011_04_14__12_07_25__3,N2,26197
200,R_2011_05_17__12_09_10___1___5,N2,26196
201,R_2011_09_02__15_52_55___7___3,N2,26197
202,R_2011_06_07__12_45_19___7___7,N2,26196
203,R_2011_02_08__15_21___3___9,N2,26195
204,R_2011_04_13__10_44_27___1___1,N2,26197
205,L_2011_03_22__12_45_50___1___5,N2,26195
206,R_2011_05_19__11_22_00___2___2,N2,26195
207,R_2011_11_04__10_45___4___4,N2,26196
208,R_2011_11_09__11_20___4___4,N2,26195
209,L_2011_03_24__12_06_06___1___1,N2,26196
210,R_2010_09_30__10_25_33___2___1,N2,26195
211,L_2011_05_17__11_14_05___7___2,N2,26197
212,R_2010_10_14__16_40_54___7___5,N2,26196
213,R_2011_03_03__16_17___3___9,N2,26196
214,L_2011_02_08__11_42_29___7___3,N2,26196
215,R_2010_10_15__11_43_44___1___3,N2,26196
216,R_2010_09_30__10_26_02___6___1,N2,26197
217,L_2011_03_28__15_10___3___5,N2,26196
218,R_2011_03_22__12_16_01__4,N2,26195
219,R_2011_11_09__11_46_15__5,N2,26196
220,L_2011_06_14__12_52___3___7,N2,26195
221,R_2011_05_17__11_30_54___6___3,N2,26197
222,L_2011_03_30__16_16_31__11,N2,26195
223,R_2011_09_06__13_09___4___5,N2,26196
224,R_2011_08_11__11_21_44___2___5,N2,26196
225,L_2011_03_10__12_06_10__5,N2,26195
226,R_2011_08_25__15_18_49___1___8,N2,26197
